RegionName,AreaCode,longitude,latitude,,,,
Aberdeenshire,S12000034,-2.0954,57.14748,,,,
Adur,E07000223,-0.32035,50.830952,,,,
Allerdale,E07000026,-3.21054,54.769081,,,,
Amber Valley,E07000032,-1.46219,53.028839,,,,
Angus,S12000041,-2.89189,56.7248,,,,
Antrim and Newtownabbey,N09000001,-6.1776,54.693859,,,,
Ards and North Down,N09000011,-5.64568,54.564091,,,,
Argyll and Bute,S12000035,-5.22114,56.289429,,,,
Armagh City Banbridge and Craigavon,N09000002,-6.43455,54.3867,,,,
Arun,E07000224,-0.62832,50.810719,,,,
Ashfield,E07000170,-1.25422,53.097469,,,,
Ashford,E07000105,0.823374,51.130959,,,,
Aylesbury Vale,E07000004,-0.87746,51.900372,,,,
Babergh,E07000200,0.916231,52.064178,,,,
Barking and Dagenham,E09000002,0.129506,51.545521,,,,
Barnet,E09000003,-0.21821,51.61108,,,,
Barnsley,E08000016,-1.52458,53.525681,,,,
Barrow-in-Furness,E07000027,-3.19976,54.157372,,,,
Basildon,E07000066,0.475055,51.590359,,,,
Basingstoke and Deane,E07000084,-1.22021,51.259369,,,,
Bassetlaw,E07000171,-0.9787,53.356041,,,,
Bath and North East Somerset,E06000022,-2.48654,51.356041,,,,
Bedford,E06000055,-0.45463,52.196281,,,,
Belfast,N09000003,-5.92535,54.59853,,,,
Bexley,E09000004,0.146212,51.45821,,,,
Birmingham,E08000025,-1.88141,52.484039,,,,
Blaby,E07000129,-1.19887,52.577061,,,,
Blackburn with Darwen,E06000008,-2.4636,53.700802,,,,
Blackpool,E06000009,-3.02284,53.821609,,,,
Blaenau Gwent,W06000019,-3.1859,51.753632,,,,
Bolsover,E07000033,-1.27228,53.23875,,,,
Bolton,E08000001,-2.47952,53.584492,,,,
Boston,E07000136,-0.11218,52.97794,,,,
Bournemouth Christchurch and Poole,E06000058,-1.84807,50.74609,,,,
Bracknell Forest,E06000036,-0.73363,51.411301,,,,
Bradford,E08000032,-1.87389,53.843819,,,,
Braintree,E07000067,0.575911,51.91634,,,,
Breckland,E07000143,0.818716,52.594212,,,,
Brent,E09000005,-0.27585,51.564651,,,,
Brentwood,E07000068,0.290091,51.641079,,,,
Bridgend,W06000013,-3.61359,51.560581,,,,
Brighton and Hove,E06000043,-0.15734,50.841969,,,,
Broadland,E07000144,1.221266,52.698719,,,,
Bromley,E09000006,0.039246,51.372669,,,,
Bromsgrove,E07000234,-2.00376,52.361691,,,,
Broxbourne,E07000095,-0.05073,51.720798,,,,
Broxtowe,E07000172,-1.25944,52.972099,,,,
Buckinghamshire,E10000002,-0.80569,51.76966,,,,
Burnley,E07000117,-2.2308,53.774059,,,,
Bury,E08000002,-2.3088,53.593102,,,,
Caerphilly,W06000018,-3.19753,51.650009,,,,
Calderdale,E08000033,-1.96182,53.720482,,,,
Cambridge,E07000008,0.126436,52.200169,,,,
Cambridgeshire,E10000003,0.126436,52.20017,,,,
Camden,E09000007,-0.16289,51.54306,,,,
Cannock Chase,E07000192,-1.98277,52.70166,,,,
Canterbury,E07000106,1.096257,51.281029,,,,
Cardiff,W06000015,-3.22212,51.502541,,,,
Carlisle,E07000028,-2.80706,54.97868,,,,
Carmarthenshire,W06000010,-4.32468,51.892761,,,,
Castle Point,E07000069,0.588084,51.5616,,,,
Causeway Coast and Glens,N09000004,-6.5996,55.039619,,,,
Central Bedfordshire,E06000056,-0.47754,51.999031,,,,
Ceredigion,W06000008,-3.94994,52.297951,,,,
Charnwood,E07000130,-1.13694,52.739899,,,,
Chelmsford,E07000070,0.491163,51.735031,,,,
Cheltenham,E07000078,-2.07515,51.898609,,,,
Cherwell,E07000177,-1.28506,51.887199,,,,
Cheshire East,E06000049,-2.29299,53.167931,,,,
Cheshire West and Chester,E06000050,-2.70298,53.163361,,,,
Chesterfield,E07000034,-1.40115,53.255749,,,,
Chichester,E07000225,-0.80768,50.801922,,,,
Chiltern,E07000005,-0.62112,51.678902,,,,
Chorley,E07000118,-2.61921,53.672401,,,,
City of Aberdeen,S12000033,-2.20398,57.16697,,,,
City of Bristol,E06000023,-2.57742,51.471149,,,,
City of Derby,E06000015,-1.70711,53.12326,,,,
City of Dundee,S12000042,-2.97095,56.4776,,,,
City of Edinburgh,S12000036,-3.27826,55.91119,,,,
City of Glasgow,S12000049,-4.21479,55.876492,,,,
City of Kingston upon Hull,E06000010,-0.3038,53.769791,,,,
City of London,E09000001,-0.09351,51.51564,,,,
City of Nottingham,E06000018,-1.16667,52.95419,,,,
City of Peterborough,E06000031,-0.26874,52.59214,,,,
City of Plymouth,E06000026,-4.11297,50.40494,,,,
City of Westminster,E09000033,-0.135278,51.49472,,,,
Clackmannanshire,S12000005,-3.75344,56.14724,,,,
Colchester,E07000071,0.859776,51.87701,,,,
Conwy,W06000003,-3.733,53.1922,,,,
Copeland,E07000029,-3.51567,54.5103,,,,
Corby,E07000150,-0.7069,52.506969,,,,
Cornwall,E06000052,-4.64249,50.45023,,,,
Cotswold,E07000079,-1.97059,51.772549,,,,
County Durham,E06000047,-1.8405,54.685131,,,,
Coventry,E08000026,-1.51908,52.41423,,,,
Craven,E07000163,-2.28223,54.009701,,,,
Crawley,E07000226,-0.19533,51.123569,,,,
Croydon,E09000008,-0.07761,51.365978,,,,
Cumbria,E10000006,-2.74387,54.328506,,,,
Dacorum,E07000096,-0.55098,51.768452,,,,
Darlington,E06000005,-1.56835,54.535339,,,,
Dartford,E07000107,0.222291,51.43417,,,,
Daventry,E07000151,-1.01447,52.30994,,,,
Denbighshire,W06000004,-3.34761,53.088329,,,,
Derbyshire,E10000007,-1.466667,52.916668,,,,
Derbyshire Dales,E07000035,-1.67653,53.01297,,,,
Derry City and Strabane,N09000005,-7.42064,54.80904,,,,
Devon,E10000008,-3.716667,50.716667,,,,
Doncaster,E08000017,-1.10894,53.52697,,,,
Dorset,E06000059,-2.41467,50.79697,,,,
Dover,E07000108,1.276929,51.211739,,,,
Dudley,E08000027,-2.10171,52.495129,,,,
Dumfries and Galloway,S12000006,-4.02863,55.096218,,,,
Ealing,E09000009,-0.33218,51.52586,,,,
East Ayrshire,S12000008,-4.29057,55.496738,,,,
East Cambridgeshire,E07000009,0.283163,52.35788,,,,
East Devon,E07000040,-3.22381,50.757648,,,,
East Dunbartonshire,S12000045,-4.22417,55.95829,,,,
East Hampshire,E07000085,-1.01387,51.139359,,,,
East Hertfordshire,E07000242,0.002739,51.864849,,,,
East Lindsey,E07000137,0.020549,53.264832,,,,
East Lothian,S12000010,-2.72435,55.94207,,,,
East Midlands,E12000004,-1.1304,52.63592,,,,
East Northamptonshire,E07000152,-0.5092,52.479092,,,,
East Renfrewshire,S12000011,-4.3606,55.74868,,,,
East Riding of Yorkshire,E06000011,-0.66203,53.881222,,,,
East Staffordshire,E07000193,-1.81438,52.83651,,,,
East Suffolk,E07000244,1.455602,52.23724,,,,
East Sussex,E10000011,-0.152778,50.827778,,,,
East of England,E12000006,0.4798,51.736099,,,,
Eastbourne,E07000061,0.291521,50.788921,,,,
Eastleigh,E07000086,-1.32932,50.94817,,,,
Eden,E07000030,-2.59241,54.69725,,,,
Elmbridge,E07000207,-0.39441,51.360981,,,,
Enfield,E09000010,-0.08147,51.64888,,,,
England,E92000001,-1.1304,52.63592,,,,
England and Wales,K04000001,-5.269,51.882,,,,
Epping Forest,E07000072,0.154147,51.712791,,,,
Epsom and Ewell,E07000208,-0.26172,51.339451,,,,
Erewash,E07000036,-1.3509,52.938202,,,,
Essex,E10000012,0.667367,51.756907,,,,
Exeter,E07000041,-3.51372,50.7178,,,,
Falkirk,S12000014,-3.7706,55.99604,,,,
Fareham,E07000087,-1.23742,50.853931,,,,
Fenland,E07000010,0.009016,52.535439,,,,
Fermanagh and Omagh,N09000006,-7.5271,54.385208,,,,
Fife,S12000047,-2.98235,56.231171,,,,
Flintshire,W06000005,-3.17605,53.214981,,,,
Folkestone and Hythe,E07000112,1.000796,51.072151,,,,
Forest of Dean,E07000080,-2.47755,51.812489,,,,
Fylde,E07000119,-2.91902,53.7971,,,,
Gateshead,E08000037,-1.6868,54.931198,,,,
Gedling,E07000173,-1.11907,53.024342,,,,
Gloucester,E07000081,-2.23263,51.846409,,,,
Gloucestershire,E10000013,-2.244444,51.864445,,,,
Gosport,E07000088,-1.16725,50.806412,,,,
Gravesham,E07000109,0.406582,51.39983,,,,
Great Britain,K03000001,-0.118092,51.509865,,,,
Great Yarmouth,E07000145,1.686913,52.658249,,,,
Greater Manchester,E11000001,-2.244644,53.483959,,,,
Greenwich,E09000011,0.050108,51.463959,,,,
Guildford,E07000209,-0.56257,51.253658,,,,
Gwynedd,W06000002,-4,50,,,,
Hackney,E09000012,-0.06133,51.555969,,,,
Halton,E06000006,-2.68853,53.33424,,,,
Hambleton,E07000164,-1.35447,54.317379,,,,
Hammersmith and Fulham,E09000013,-0.21736,51.48737,,,,
Hampshire,E10000014,-1.308,51.063202,,,,
Harborough,E07000131,-0.90229,52.537659,,,,
Haringey,E09000014,-0.10667,51.587711,,,,
Harlow,E07000073,0.103888,51.76614,,,,
Harrogate,E07000165,-1.5816,54.07708,,,,
Harrow,E09000015,-0.33603,51.594669,,,,
Hart,E07000089,-0.88321,51.281971,,,,
Hartlepool,E06000001,-1.27023,54.676159,,,,
Hastings,E07000062,0.579429,50.86768,,,,
Havant,E07000090,-1.004,50.872299,,,,
Havering,E09000016,0.235368,51.565189,,,,
Herefordshire,E06000019,-2.73931,52.081539,,,,
Hertfordshire,E10000015,0.002739,51.864849,,,,
Hertsmere,E07000098,-0.26899,51.680168,,,,
High Peak,E07000037,-1.93066,53.252281,,,,
Highland,S12000017,-4.66091,57.586689,,,,
Hillingdon,E09000017,-0.44182,51.536629,,,,
Hinckley and Bosworth,E07000132,-1.41755,52.608768,,,,
Horsham,E07000227,-0.36568,51.014179,,,,
Hounslow,E09000018,-0.37844,51.462429,,,,
Huntingdonshire,E07000011,-0.22467,52.353168,,,,
Hyndburn,E07000120,-2.38964,53.756481,,,,
Inner London,E13000001,-0.16289,51.54306,,,,
Inverclyde,S12000018,-4.75387,55.900349,,,,
Ipswich,E07000202,1.163267,52.057919,,,,
Isle of Anglesey,W06000001,-4.32291,53.279449,,,,
Isle of Wight,E06000046,-1.33366,50.671291,,,,
Islington,E09000019,-0.10992,51.545479,,,,
Kensington and Chelsea,E09000020,-0.18976,51.496441,,,,
Kent,E10000016,0.52527,51.272644,,,,
Kettering,E07000153,-0.76773,52.437229,,,,
King's Lynn and West Norfolk ,E07000146,0.533258,52.71283,,,,
Kingston upon Thames,E09000021,-0.28367,51.39296,,,,
Kirklees,E08000034,-1.75586,53.649391,,,,
Knowsley,E08000011,-2.83297,53.437881,,,,
Lambeth,E09000022,-0.11385,51.46442,,,,
Lancashire,E10000017,-2.6603,54.07901,,,,
Lancaster,E07000121,-2.69445,54.056198,,,,
Leeds,E08000035,-1.50736,53.822731,,,,
Leicester,E06000016,-1.1304,52.635921,,,,
Leicestershire,E10000018,-1.1304,52.63592,,,,
Lewes,E07000063,-0.003,50,,,,
Lewisham,E09000023,-0.01733,51.44231,,,,
Lichfield,E07000194,-1.76049,52.696152,,,,
Lincoln,E07000138,-0.55848,53.219212,,,,
Lincolnshire,E10000019,-0.538611,53.234444,,,,
Lisburn and Castlereagh,N09000007,-6.03545,54.49752,,,,
Liverpool,E08000012,-2.91364,53.408298,,,,
London,E12000007,-0.01634,51.543308,,,,
Luton,E06000032,-0.42319,51.891022,,,,
Maidstone,E07000110,0.584061,51.235661,,,,
Maldon,E07000074,0.773857,51.775711,,,,
Malvern Hills,E07000235,-2.33089,52.16758,,,,
Manchester,E08000003,-2.23359,53.470089,,,,
Mansfield,E07000174,-1.17804,53.16703,,,,
Medway,E06000035,0.563173,51.447708,,,,
Melton,E07000133,-0.8544,52.803291,,,,
Mendip,E07000187,-2.54178,51.194759,,,,
Merseyside,E11000002,-2.983333,53.400002,,,,
Merthyr Tydfil,W06000024,-3.36394,51.737061,,,,
Merton,E09000024,-0.18867,51.410568,,,,
Mid Devon,E07000042,-3.5871,50.875931,,,,
Mid Suffolk,E07000203,1.096953,52.21859,,,,
